#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A2E28D
#Date Time: 2026-04-02 18:40:56.302
#Sample rate: 1e+08Hz
#Samples: 4096

Time (s),I2S
0.0185588,R h00000000
0.01855881,R h00000000
0.01855882,R h00000000
0.01855883,R h00000000
0.01855884,R h00000000
0.01855885,R h00000000
0.01855886,R h00000000
0.01855887,R h00000000
0.01855888,R h00000000
0.01855889,R h00000000
0.0185589,R h00000000
0.01855891,R h00000000
0.01855892,R h00000000
0.01855893,R h00000000
0.01855894,R h00000000
0.01855895,R h00000000
0.01855896,R h00000000
0.01855897,R h00000000
0.01855898,R h00000000
0.01855899,R h00000000
0.018559,R h00000000
0.01855901,R h00000000
0.01855902,R h00000000
0.01855903,R h00000000
0.01855904,R h00000000
0.01855905,R h00000000
0.01855906,R h00000000
0.01855907,R h00000000
0.01855908,R h00000000
0.01855909,R h00000000
0.0185591,R h00000000
0.01855911,R h00000000
0.01855912,R h00000000
0.01855913,R h00000000
0.01855914,R h00000000
0.01855915,R h00000000
0.01855916,R h00000000
0.01855917,R h00000000
0.01855918,R h00000000
0.01855919,R h00000000
0.0185592,R h00000000
0.01855921,R h00000000
0.01855922,R h00000000
0.01855923,R h00000000
0.01855924,R h00000000
0.01855925,R h00000000
0.01855926,R h00000000
0.01855927,R h00000000
0.01855928,R h00000000
0.01855929,R h00000000
0.0185593,R h00000000
0.01855931,R h00000000
0.01855932,R h00000000
0.01855933,R h00000000
0.01855934,R h00000000
0.01855935,R h00000000
0.01855936,R h00000000
0.01855937,R h00000000
0.01855938,R h00000000
0.01855939,R h00000000
0.0185594,R h00000000
0.01855941,R h00000000
0.01855942,R h00000000
0.01855943,R h00000000
0.01855944,R h00000000
0.01855945,R h00000000
0.01855946,R h00000000
0.01855947,R h00000000
0.01855948,R h00000000
0.01855949,R h00000000
0.0185595,R h00000000
0.01855951,R h00000000
0.01855952,R h00000000
0.01855953,R h00000000
0.01855954,R h00000000
0.01855955,R h00000000
0.01855956,R h00000000
0.01855957,R h00000000
0.01855958,R h00000000
0.01855959,R h00000000
0.0185596,R h00000000
0.01855961,R h00000000
0.01855962,R h00000000
0.01855963,R h00000000
0.01855964,R h00000000
0.01855965,R h00000000
0.01855966,R h00000000
0.01855967,R h00000000
0.01855968,R h00000000
0.01855969,R h00000000
0.0185597,R h00000000
0.01855971,R h00000000
0.01855972,R h00000000
0.01855973,R h00000000
0.01855974,R h00000000
0.01855975,R h00000000
0.01855976,R h00000000
0.01855977,R h00000000
0.01855978,R h00000000
0.01855979,R h00000000
0.0185598,R h00000000
0.01855981,R h00000000
0.01855982,R h00000000
0.01855983,R h00000000
0.01855984,R h00000000
0.01855985,R h00000000
0.01855986,R h00000000
0.01855987,R h00000000
0.01855988,R h00000000
0.01855989,R h00000000
0.0185599,R h00000000
0.01855991,R h00000000
0.01855992,R h00000000
0.01855993,R h00000000
0.01855994,R h00000000
0.01855995,R h00000000
0.01855996,R h00000000
0.01855997,R h00000000
0.01855998,R h00000000
0.01855999,R h00000000
0.01856,R h00000000
0.01856001,R h00000000
0.01856002,R h00000000
0.01856003,R h00000000
0.01856004,R h00000000
0.01856005,R h00000000
0.01856006,R h00000000
0.01856007,R h00000000
0.01856008,R h00000000
0.01856009,R h00000000
0.0185601,R h00000000
0.01856011,R h00000000
0.01856012,R h00000000
0.01856013,R h00000000
0.01856014,R h00000000
0.01856015,R h00000000
0.01856016,R h00000000
0.01856017,R h00000000
0.01856018,R h00000000
0.01856019,R h00000000
0.0185602,R h00000000
0.01856021,R h00000000
0.01856022,R h00000000
0.01856023,R h00000000
0.01856024,R h00000000
0.01856025,R h00000000
0.01856026,R h00000000
0.01856027,R h00000000
0.01856028,R h00000000
0.01856029,R h00000000
0.0185603,R h00000000
0.01856031,R h00000000
0.01856032,R h00000000
0.01856033,R h00000000
0.01856034,R h00000000
0.01856035,R h00000000
0.01856036,R h00000000
0.01856037,R h00000000
0.01856038,R h00000000
0.01856039,R h00000000
0.0185604,R h00000000
0.01856041,R h00000000
0.01856042,R h00000000
0.01856043,R h00000000
0.01856044,R h00000000
0.01856045,R h00000000
0.01856046,R h00000000
0.01856047,R h00000000
0.01856048,R h00000000
0.01856049,R h00000000
0.0185605,R h00000000
0.01856051,R h00000000
0.01856052,R h00000000
0.01856053,R h00000000
0.01856054,R h00000000
0.01856055,R h00000000
0.01856056,R h00000000
0.01856057,R h00000000
0.01856058,R h00000000
0.01856059,R h00000000
0.0185606,R h00000000
0.01856061,R h00000000
0.01856062,R h00000000
0.01856063,R h00000000
0.01856064,R h00000000
0.01856065,R h00000000
0.01856066,R h00000000
0.01856067,R h00000000
0.01856068,R h00000000
0.01856069,R h00000000
0.0185607,R h00000000
0.01856071,R h00000000
0.01856072,R h00000000
0.01856073,R h00000000
0.01856074,R h00000000
0.01856075,R h00000000
0.01856076,R h00000000
0.01856077,R h00000000
0.01856078,R h00000000
0.01856079,R h00000000
0.0185608,R h00000000
0.01856081,R h00000000
0.01856082,R h00000000
0.01856083,R h00000000
0.01856084,R h00000000
0.01856085,R h00000000
0.01856086,R h00000000
0.01856087,R h00000000
0.01856088,R h00000000
0.01856089,R h00000000
0.0185609,R h00000000
0.01856091,R h00000000
0.01856092,R h00000000
0.01856093,R h00000000
0.01856094,R h00000000
0.01856095,R h00000000
0.01856096,R h00000000
0.01856097,R h00000000
0.01856098,R h00000000
0.01856099,R h00000000
0.018561,R h00000000
0.01856101,R h00000000
0.01856102,R h00000000
0.01856103,R h00000000
0.01856104,R h00000000
0.01856105,R h00000000
0.01856106,R h00000000
0.01856107,R h00000000
0.01856108,R h00000000
0.01856109,R h00000000
0.0185611,R h00000000
0.01856111,R h00000000
0.01856112,R h00000000
0.01856113,R h00000000
0.01856114,R h00000000
0.01856115,R h00000000
0.01856116,R h00000000
0.01856117,R h00000000
0.01856118,R h00000000
0.01856119,R h00000000
0.0185612,R h00000000
0.01856121,R h00000000
0.01856122,R h00000000
0.01856123,R h00000000
0.01856124,R h00000000
0.01856125,R h00000000
0.01856126,R h00000000
0.01856127,R h00000000
0.01856128,R h00000000
0.01856129,R h00000000
0.0185613,R h00000000
0.01856131,R h00000000
0.01856132,R h00000000
0.01856133,R h00000000
0.01856134,R h00000000
0.01856135,R h00000000
0.01856136,R h00000000
0.01856137,R h00000000
0.01856138,R h00000000
0.01856139,R h00000000
0.0185614,R h00000000
0.01856141,R h00000000
0.01856142,R h00000000
0.01856143,R h00000000
0.01856144,R h00000000
0.01856145,R h00000000
0.01856146,R h00000000
0.01856147,R h00000000
0.01856148,R h00000000
0.01856149,R h00000000
0.0185615,R h00000000
0.01856151,R h00000000
0.01856152,R h00000000
0.01856153,R h00000000
0.01856154,R h00000000
0.01856155,R h00000000
0.01856156,R h00000000
0.01856157,R h00000000
0.01856158,R h00000000
0.01856159,R h00000000
0.0185616,R h00000000
0.01856161,R h00000000
0.01856162,R h00000000
0.01856163,R h00000000
0.01856164,R h00000000
0.01856165,R h00000000
0.01856166,R h00000000
0.01856167,R h00000000
0.01856168,R h00000000
0.01856169,R h00000000
0.0185617,R h00000000
0.01856171,R h00000000
0.01856172,R h00000000
0.01856173,R h00000000
0.01856174,R h00000000
0.01856175,R h00000000
0.01856176,R h00000000
0.01856177,R h00000000
0.01856178,R h00000000
0.01856179,R h00000000
0.0185618,R h00000000
0.01856181,R h00000000
0.01856182,R h00000000
0.01856183,R h00000000
0.01856184,R h00000000
0.01856185,R h00000000
0.01856186,R h00000000
0.01856187,R h00000000
0.01856188,R h00000000
0.01856189,R h00000000
0.0185619,R h00000000
0.01856191,R h00000000
0.01856192,R h00000000
0.01856193,R h00000000
0.01856194,R h00000000
0.01856195,R h00000000
0.01856196,R h00000000
0.01856197,R h00000000
0.01856198,R h00000000
0.01856199,R h00000000
0.018562,R h00000000
0.01856201,R h00000000
0.01856202,R h00000000
0.01856203,R h00000000
0.01856204,R h00000000
0.01856205,R h00000000
0.01856206,R h00000000
0.01856207,R h00000000
0.01856208,R h00000000
0.01856209,R h00000000
0.0185621,R h00000000
0.01856211,R h00000000
0.01856212,R h00000000
0.01856213,R h00000000
0.01856214,R h00000000
0.01856215,R h00000000
0.01856216,R h00000000
0.01856217,R h00000000
0.01856218,R h00000000
0.01856219,R h00000000
0.0185622,R h00000000
0.01856221,R h00000000
0.01856222,R h00000000
0.01856223,R h00000000
0.01856224,R h00000000
0.01856225,R h00000000
0.01856226,R h00000000
0.01856227,R h00000000
0.01856228,R h00000000
0.01856229,R h00000000
0.0185623,R h00000000
0.01856231,R h00000000
0.01856232,R h00000000
0.01856233,R h00000000
0.01856234,R h00000000
0.01856235,R h00000000
0.01856236,R h00000000
0.01856237,R h00000000
0.01856238,R h00000000
0.01856239,R h00000000
0.0185624,R h00000000
0.01856241,R h00000000
0.01856242,R h00000000
0.01856243,R h00000000
0.01856244,R h00000000
0.01856245,R h00000000
0.01856246,R h00000000
0.01856247,R h00000000
0.01856248,R h00000000
0.01856249,R h00000000
0.0185625,R h00000000
0.01856251,R h00000000
0.01856252,R h00000000
0.01856253,R h00000000
0.01856254,R h00000000
0.01856255,R h00000000
0.01856256,R h00000000
0.01856257,R h00000000
0.01856258,R h00000000
0.01856259,R h00000000
0.0185626,R h00000000
0.01856261,R h00000000
0.01856262,R h00000000
0.01856263,R h00000000
0.01856264,R h00000000
0.01856265,R h00000000
0.01856266,R h00000000
0.01856267,R h00000000
0.01856268,R h00000000
0.01856269,R h00000000
0.0185627,R h00000000
0.01856271,R h00000000
0.01856272,R h00000000
0.01856273,R h00000000
0.01856274,R h00000000
0.01856275,R h00000000
0.01856276,R h00000000
0.01856277,R h00000000
0.01856278,R h00000000
0.01856279,R h00000000
0.0185628,R h00000000
0.01856281,R h00000000
0.01856282,R h00000000
0.01856283,R h00000000
0.01856284,R h00000000
0.01856285,R h00000000
0.01856286,R h00000000
